switch,arsenic,dist,assoc,educ,y,dist100,c_dist100,c_arsenic
1,2.36,16.826000213623,0,0,1,0.16826000213623002,-0.3150586235680135,0.7030695364238408
1,0.71,47.3219985961914,0,0,1,0.473219985961914,-0.010098639742329496,-0.9469304635761591
0,2.07,20.9669990539551,0,10,0,0.209669990539551,-0.2736486351646925,0.4130695364238408
1,1.15,21.4860000610352,0,12,1,0.214860000610352,-0.2684586250938915,-0.5069304635761591
1,1.1,40.8740005493164,1,14,1,0.40874000549316397,-0.07457862021107953,-0.5569304635761589
1,3.9,69.5179977416992,1,9,1,0.695179977416992,0.2118613517127485,2.2430695364238407
1,2.97,80.7109985351563,1,4,1,0.8071099853515631,0.3237913596473196,1.3130695364238412
1,3.24,55.1459999084473,0,10,1,0.551459999084473,0.06814137338022946,1.5830695364238412
1,3.28,52.6469993591309,1,0,1,0.526469993591309,0.04315136788706547,1.6230695364238408
1,2.52,75.0719985961914,1,0,1,0.750719985961914,0.26740136025767053,0.863069536423841
1,3.13,29.7740001678467,1,5,1,0.29774000167846704,-0.18557862402577646,1.4730695364238409
1,3.04,34.5040016174316,0,0,1,0.34504001617431596,-0.13827860952992754,1.383069536423841
1,2.91,63.8040008544922,1,0,1,0.638040008544922,0.15472138284067855,1.2530695364238411
1,3.21,73.6039962768555,1,0,1,0.736039962768555,0.2527213370643115,1.553069536423841
1,1.7,67.6549987792969,1,0,1,0.676549987792969,0.19323136208872554,0.043069536423840926
1,1.8,80.6600036621094,1,7,1,0.806600036621094,0.32328141091685053,0.14306953642384101
1,1.44,52.181999206543,0,7,1,0.52181999206543,0.03850136636118645,-0.21693046357615908
1,1.43,52.181999206543,1,7,1,0.52181999206543,0.03850136636118645,-0.2269304635761591
1,2.33,50.5340003967285,1,0,1,0.5053400039672851,0.02202137826304157,0.673069536423841
1,2.83,31.4220008850098,0,10,1,0.314220008850098,-0.1690986168541455,1.173069536423841
1,1.79,33.0089988708496,1,7,1,0.33008998870849604,-0.15322863699574746,0.133069536423841
1,2.54,37.8709983825684,0,0,1,0.378709983825684,-0.1046086418785595,0.883069536423841
1,2.25,48.3730010986328,1,5,1,0.483730010986328,4.1138528208450875e-4,0.593069536423841
1,2.42,47.3089981079102,0,0,1,0.473089981079102,-0.010228644625141503,0.7630695364238409
1,1.62,67.7850036621094,0,8,1,0.677850036621094,0.1945314109168505,-0.03693046357615892
1,2.34,81.1380004882813,1,8,1,0.811380004882813,0.32806137917856953,0.6830695364238408
1,3.49,95.4599990844727,0,10,1,0.954599990844727,0.4712813651404835,1.8330695364238412
1,2.13,114.417999267578,0,16,1,1.14417999267578,0.6608613669715366,0.47306953642384086
1,0.93,157.628997802734,1,10,1,1.57628997802734,1.0929713523230966,-0.726930463576159
1,3.36,151.919998168945,1,10,1,1.51919998168945,1.0358813559852065,1.7030695364238408
1,1.49,107.69100189209,0,10,1,1.0769100189209,0.5935913932166565,-0.16693046357615904
1,0.83,105.667999267578,0,10,1,1.05667999267578,0.5733613669715365,-0.8269304635761591
1,1.37,105.625999450684,1,0,1,1.05625999450684,0.5729413688025966,-0.2869304635761589
